PREVENT Tier,hsCRP Category,N,All-Cause Deaths,CV Deaths,Follow-up (yrs),Age (yrs),Male (%),TC (mg/dL),HDL-C (mg/dL),SBP (mmHg),BMI (kg/m²),eGFR (mL/min),hsCRP median (mg/L),Diabetes (%),Smoker (%),BP Meds (%)
Low,<1 mg/L,2971,67,13,10.9 ± 4.2,42.8 ± 8.2,49.4%,197.1 ± 35.6,59.7 ± 18.5,115.4 ± 12.7,25.2 ± 4.2,99.5 ± 14.7,0.50,1.0%,17.8%,6.6%
Low,1-3 mg/L,3088,96,13,11.1 ± 4.2,43.3 ± 8.3,50.5%,206.2 ± 39.9,54.2 ± 16.6,117.8 ± 12.4,28.4 ± 5.0,98.9 ± 15.3,1.70,1.3%,20.8%,8.6%
Low,>3 mg/L,2282,75,10,10.8 ± 4.4,42.7 ± 8.0,37.0%,205.5 ± 40.0,51.8 ± 16.7,118.6 ± 13.1,31.6 ± 6.6,101.0 ± 15.4,4.90,2.4%,21.8%,12.1%
Borderline-Intermediate,<1 mg/L,1147,149,34,9.7 ± 4.4,62.3 ± 7.5,61.8%,201.6 ± 39.2,57.7 ± 17.8,129.1 ± 17.7,26.4 ± 4.6,86.7 ± 15.4,0.50,14.6%,18.3%,35.0%
Borderline-Intermediate,1-3 mg/L,1887,283,64,10.0 ± 4.4,61.1 ± 8.1,56.0%,210.0 ± 44.8,53.0 ± 16.3,131.0 ± 17.6,29.4 ± 5.8,85.9 ± 15.5,1.80,14.7%,21.3%,39.9%
Borderline-Intermediate,>3 mg/L,1648,271,78,9.8 ± 4.5,59.5 ± 8.5,48.2%,213.5 ± 47.3,49.6 ± 15.3,131.9 ± 18.1,32.0 ± 6.6,86.7 ± 16.1,5.00,20.6%,26.9%,47.2%
High,<1 mg/L,268,96,23,8.4 ± 4.2,73.2 ± 6.5,62.1%,180.2 ± 36.9,52.5 ± 14.7,139.0 ± 24.0,27.2 ± 4.8,72.3 ± 19.5,0.60,43.0%,14.1%,65.9%
High,1-3 mg/L,437,163,58,8.4 ± 4.4,72.8 ± 5.5,55.0%,184.7 ± 37.8,49.4 ± 12.9,140.8 ± 22.2,29.5 ± 5.4,69.5 ± 17.6,1.80,43.1%,16.9%,78.3%
High,>3 mg/L,396,164,42,8.3 ± 4.3,71.2 ± 7.2,53.0%,191.4 ± 46.0,49.0 ± 13.9,141.1 ± 22.8,31.2 ± 6.6,69.0 ± 21.3,4.60,44.9%,24.4%,76.4%
