PREVENT_Tier,CRP_Category,HR,CI_Lower,CI_Upper,P_Value,N,Events,HR_CI,Model
Low,1-3 mg/L,1.16,0.91,1.48,0.2202,9168,270,1.16 (0.91–1.48),Sensitivity (all CRP)
Low,>3 mg/L,1.44,1.13,1.85,0.0039,9168,270,1.44 (1.13–1.85),Sensitivity (all CRP)
Borderline-Intermediate,1-3 mg/L,1.15,0.96,1.38,0.1382,5242,831,1.15 (0.96–1.38),Sensitivity (all CRP)
Borderline-Intermediate,>3 mg/L,1.59,1.33,1.91,<0.0001,5242,831,1.59 (1.33–1.91),Sensitivity (all CRP)
High,1-3 mg/L,0.97,0.76,1.25,0.8352,1250,493,0.97 (0.76–1.25),Sensitivity (all CRP)
High,>3 mg/L,1.32,1.04,1.68,0.0220,1250,493,1.32 (1.04–1.68),Sensitivity (all CRP)
