PREVENT_Tier,CRP_Category,HR,CI_Lower,CI_Upper,P_Value,N,Events,HR_CI,Model
Low,1-3 mg/L,0.98,0.67,1.42,0.8981,8341,36,0.98 (0.67–1.42),Cause-specific (Adjusted)
Low,>3 mg/L,1.01,0.67,1.51,0.9809,8341,36,1.01 (0.67–1.51),Cause-specific (Adjusted)
Borderline-Intermediate,1-3 mg/L,1.01,0.73,1.39,0.9591,4682,176,1.01 (0.73–1.39),Cause-specific (Adjusted)
Borderline-Intermediate,>3 mg/L,1.46,1.05,2.01,0.0233,4682,176,1.46 (1.05–2.01),Cause-specific (Adjusted)
High,1-3 mg/L,1.31,0.85,2.02,0.2241,1101,123,1.31 (0.85–2.02),Cause-specific (Adjusted)
High,>3 mg/L,1.19,0.74,1.9,0.4759,1101,123,1.19 (0.74–1.90),Cause-specific (Adjusted)
